epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6340.97,1.43775,0.7197,0.96118,0.77786,0.45026,0.51737,0.27375,1.40807,0.64782,0.96056,0.002278,0.002278,0.002278
41,6502.55,1.42111,0.69483,0.96493,0.78389,0.44739,0.51547,0.27332,1.40516,0.65046,0.95978,0.00208,0.00208,0.00208
42,6656.24,1.41046,0.68843,0.96253,0.78107,0.4461,0.51562,0.27358,1.40684,0.64871,0.95919,0.001882,0.001882,0.001882
43,6809.22,1.40848,0.68286,0.96072,0.77986,0.4469,0.51708,0.27439,1.4056,0.64627,0.95937,0.001684,0.001684,0.001684
44,6963.36,1.39558,0.67514,0.95864,0.78157,0.44809,0.51833,0.27477,1.40447,0.64529,0.95879,0.001486,0.001486,0.001486
45,7117.94,1.39378,0.67193,0.95691,0.77714,0.44849,0.5184,0.27589,1.40416,0.64337,0.95981,0.001288,0.001288,0.001288
46,7272.96,1.39092,0.66575,0.95511,0.78025,0.44809,0.51911,0.27584,1.40278,0.64153,0.95931,0.00109,0.00109,0.00109
47,7427.5,1.38163,0.66145,0.95488,0.78484,0.44847,0.52045,0.27665,1.40353,0.64101,0.95981,0.000892,0.000892,0.000892
48,7581.17,1.37716,0.65776,0.95183,0.78482,0.44898,0.52049,0.27671,1.40401,0.64036,0.95953,0.000694,0.000694,0.000694
49,7734.53,1.37331,0.65307,0.95024,0.7844,0.44979,0.52141,0.27693,1.40335,0.63996,0.95859,0.000496,0.000496,0.000496
50,7887.95,1.37572,0.6504,0.94875,0.78294,0.44993,0.52113,0.27729,1.40287,0.63977,0.95859,0.000298,0.000298,0.000298
1,177.037,1.98526,1.59928,1.18968,0.69692,0.32774,0.36747,0.17672,1.7258,1.06445,1.05525,0.00333126,0.00333126,0.00333126
2,341.015,1.79829,1.14559,1.07242,0.69375,0.33926,0.38015,0.18475,1.69933,1.00566,1.03946,0.00653264,0.00653264,0.00653264
3,580.835,1.80833,1.11715,1.07064,0.70352,0.34581,0.38897,0.18798,1.695,0.97386,1.05479,0.00960201,0.00960201,0.00960201
4,758.614,1.79962,1.09073,1.06644,0.69736,0.35042,0.3975,0.19369,1.66781,0.93371,1.04675,0.009406,0.009406,0.009406
5,919.003,1.73947,1.01902,1.05148,0.71804,0.36736,0.42027,0.20979,1.61194,0.85884,1.02414,0.009208,0.009208,0.009208
6,1081.14,1.69837,0.98346,1.04064,0.73326,0.37172,0.42809,0.21432,1.58906,0.84977,1.01593,0.00901,0.00901,0.00901
7,1253.52,1.67535,0.95358,1.02898,0.73637,0.37666,0.43889,0.22232,1.57526,0.83676,1.01508,0.008812,0.008812,0.008812
8,1427.17,1.67117,0.9369,1.02706,0.72602,0.3842,0.43956,0.22176,1.5602,0.82973,1.00625,0.008614,0.008614,0.008614
9,1596.52,1.63553,0.913,1.01765,0.74061,0.39254,0.45272,0.23128,1.53464,0.79922,1.00554,0.008416,0.008416,0.008416
